id,year,title,venue,bibtype,gre_stem
P19-1315,2019,Towards Understanding Linear Word Analogies,Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,inproceedings,0
W19-4724,2019,One-to-X Analogical Reasoning on Word Embeddings: a Case for Diachronic Armed Conflict Prediction from News Texts,Proceedings of the 1st International Workshop on Computational Approaches to Historical Language Change,inproceedings,1
2020.bionlp-1.4,2020,Improving Biomedical Analogical Retrieval with Embedding of Structural Dependencies,Proceedings of the 19th SIGBioMed Workshop on Biomedical Language Processing,inproceedings,1
2020.coling-main.257,2020,Analogy Models for Neural Word Inflection,Proceedings of the 28th International Conference on Computational Linguistics,inproceedings,0
2020.coling-main.300,2020,Sentence Analogies: Linguistic Regularities in Sentence Embeddings,Proceedings of the 28th International Conference on Computational Linguistics,inproceedings,1
2020.conll-1.29,2020,Analogies minus analogy test: measuring regularities in word embeddings,Proceedings of the 24th Conference on Computational Natural Language Learning,inproceedings,0
2020.emnlp-main.119,2020,Analogous Process Structure Induction for Sub-event Sequence Prediction,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),inproceedings,1
2020.jeptalnrecital-taln.9,2020,Reseaux de neurones pour la resolution d'analogies entre phrases en traduction automatique par l'exemple (Neural networks for the resolution of analogies between sentences in EBMT ),"Actes de la 6e conference conjointe Journees d'Etudes sur la Parole (JEP, 33e edition), Traitement Automatique des Langues Naturelles (TALN, 27e edition), Rencontre des Etudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RECITAL, 22e edition). Volume 2 : Traitement Automatique des Langues Naturelles",inproceedings,0
2020.lrec-1.365,2020,CA-EHN: Commonsense Analogy from E-HowNet,Proceedings of the Twelfth Language Resources and Evaluation Conference,inproceedings,0
2020.lrec-1.501,2020,Multilingual Culture-Independent Word Analogy Datasets,Proceedings of the Twelfth Language Resources and Evaluation Conference,inproceedings,1
2020.lrec-1.594,2020,Word Embedding Evaluation in Downstream Tasks and Semantic Analogies,Proceedings of the Twelfth Language Resources and Evaluation Conference,inproceedings,1
2021.acl-long.280,2021,BERT is to NLP what AlexNet is to CV: Can Pre-Trained Language Models Identify Analogies?,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),inproceedings,0
2021.eacl-main.182,2021,Paraphrases do not explain word analogies,Proceedings of the 16th Conference of the European Chapter of the Association for Computational Linguistics: Main Volume,inproceedings,0
2021.findings-acl.185,2021,Automatic Document Sketching: Generating Drafts from Analogous Texts,Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021,inproceedings,1
2021.findings-emnlp.171,2021,"Retrieval, Analogy, and Composition: A framework for Compositional Generalization in Image Captioning",Findings of the Association for Computational Linguistics: EMNLP 2021,inproceedings,1
2021.jeptalnrecital-taln.10,2021,Caracterisation des relations semantiques entre termes multi-mots fondee sur l'analogie (Semantic relations recognition between multi-word terms by means of analogy ),Actes de la 28e Conference sur le Traitement Automatique des Langues Naturelles. Volume 1 : conference principale,inproceedings,0
2021.reinact-1.4,2021,Communicative Grounding of Analogical Explanations in Dialogue: A Corpus Study of Conversational Management Acts and Statistical Sequence Models for Tutoring through Analogy,Proceedings of the Reasoning and Interaction Conference (ReInAct 2021),inproceedings,0
2021.sigmorphon-1.18,2021,What transfers in morphological inflection? Experiments with analogical models,"Proceedings of the 18th SIGMORPHON Workshop on Computational Research in Phonetics, Phonology, and Morphology",inproceedings,0
2021.sigmorphon-1.28,2021,Not Quite There Yet: Combining Analogical Patterns and Encoder-Decoder Networks for Cognitively Plausible Inflection,"Proceedings of the 18th SIGMORPHON Workshop on Computational Research in Phonetics, Phonology, and Morphology",inproceedings,0
2022.aacl-main.52,2022,Analogy-Guided Evolutionary Pretraining of Binary Word Embeddings,Proceedings of the 2nd Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics and the 12th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),inproceedings,1
2022.cogalex-1.10,2022,Compositionality as an Analogical Process: Introducing ANNE,Proceedings of the Workshop on Cognitive Aspects of the Lexicon,inproceedings,1
