doi,type,year,source,title
10.18653/v1/2022.semeval-1.20,inproceedings,2022.0,Proceedings of the 16th International Workshop on Semantic Evaluation (SemEval-2022),{C}ardiff{NLP}-Metaphor at {S}em{E}val-2022 Task 2: Targeted Fine-tuning of Transformer-based Language Models for Idiomaticity Detection
10.18653/v1/2022.semeval-1.135,inproceedings,2022.0,Proceedings of the 16th International Workshop on Semantic Evaluation (SemEval-2022),{UTNLP} at {S}em{E}val-2022 Task 6: A Comparative Analysis of Sarcasm Detection Using Generative-based and Mutation-based Data Augmentation
10.18653/v1/2022.naacl-main.330,inproceedings,2022.0,Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,Testing the Ability of Language Models to Interpret Figurative Language
,inproceedings,2022.0,Proceedings of the 18th Workshop on Multiword Expressions @LREC2022,A General Framework for Detecting Metaphorical Collocations
,inproceedings,2022.0,Proceedings of the 18th Workshop on Multiword Expressions @LREC2022,Metaphor Detection for Low Resource Languages: From Zero-Shot to Few-Shot Learning in {M}iddle {H}igh {G}erman
,inproceedings,2022.0,Proceedings of the Thirteenth Language Resources and Evaluation Conference,Potential Idiomatic Expression ({PIE})-{E}nglish: Corpus for Classes of Idioms
,inproceedings,2022.0,Proceedings of the Thirteenth Language Resources and Evaluation Conference,Question Modifiers in Visual Question Answering
,inproceedings,2022.0,Proceedings of the Thirteenth Language Resources and Evaluation Conference,Extracting and Analysing Metaphors in Migration Media Discourse: towards a Metaphor Annotation Scheme
,inproceedings,2022.0,Proceedings of the Thirteenth Language Resources and Evaluation Conference,Embeddings models for Buddhist {S}anskrit
,inproceedings,2022.0,Proceedings of the Thirteenth Language Resources and Evaluation Conference,{I}ce{BATS}: An {I}celandic Adaptation of the Bigger Analogy Test Set
,inproceedings,2022.0,Proceedings of the Thirteenth Language Resources and Evaluation Conference,Annotation of metaphorical expressions in the Basic Corpus of {P}olish Metaphors
10.18653/v1/2022.inlg-main.18,inproceedings,2022.0,Proceedings of the 15th International Conference on Natural Language Generation,Nominal Metaphor Generation with Multitask Learning
10.18653/v1/2022.inlg-main.25,inproceedings,2022.0,Proceedings of the 15th International Conference on Natural Language Generation,Analogy Generation by Prompting Large Language Models: A Case Study of {I}nstruct{GPT}
10.18653/v1/2022.flp-1.3,inproceedings,2022.0,Proceedings of the 3rd Workshop on Figurative Language Processing (FLP),Transfer Learning Parallel Metaphor using Bilingual Embeddings
10.18653/v1/2022.flp-1.18,inproceedings,2022.0,Proceedings of the 3rd Workshop on Figurative Language Processing (FLP),An Exploration of Linguistically-Driven and Transfer Learning Methods for Euphemism Detection
10.18653/v1/2022.flp-1.25,inproceedings,2022.0,Proceedings of the 3rd Workshop on Figurative Language Processing (FLP),On the Cusp of Comprehensibility: Can Language Models Distinguish Between Metaphors and Nonsense?
10.18653/v1/2022.findings-acl.84,inproceedings,2022.0,Findings of the Association for Computational Linguistics: ACL 2022,"When Chosen Wisely, More Data Is What You Need: A Universal Sample-Efficient Strategy For Data Augmentation"
10.18653/v1/2022.findings-acl.311,inproceedings,2022.0,Findings of the Association for Computational Linguistics: ACL 2022,{E}-{KAR}: A Benchmark for Rationalizing Natural Language Analogical Reasoning
10.18653/v1/2022.findings-naacl.82,inproceedings,2022.0,Findings of the Association for Computational Linguistics: NAACL 2022,Seeing the wood for the trees: a contrastive regularization method for the low-resource Knowledge Base Question Answering
10.18653/v1/2022.findings-emnlp.279,inproceedings,2022.0,Findings of the Association for Computational Linguistics: EMNLP 2022,Describing Sets of Images with Textual-{PCA}
10.18653/v1/2022.findings-emnlp.425,inproceedings,2022.0,Findings of the Association for Computational Linguistics: EMNLP 2022,Leveraging Open Data and Task Augmentation to Automated Behavioral Coding of Psychotherapy Conversations in Low-Resource Scenarios
10.18653/v1/2022.emnlp-main.50,inproceedings,2022.0,Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing,Inducer-tuning: Connecting Prefix-tuning and Adapter-tuning
10.18653/v1/2022.emnlp-main.58,inproceedings,2022.0,Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing,"Cross-document Event Coreference Search: Task, Dataset and Modeling"
10.18653/v1/2022.emnlp-main.472,inproceedings,2022.0,Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing,"Break it Down into {BTS}: Basic, Tiniest Subword Units for {K}orean"
10.18653/v1/2022.emnlp-main.643,inproceedings,2022.0,Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing,Analogical Math Word Problems Solving with Enhanced Problem-Solution Association
,inproceedings,2022.0,Proceedings of the 29th International Conference on Computational Linguistics,Metaphorical Polysemy Detection: Conventional Metaphor Meets Word Sense Disambiguation
,inproceedings,2022.0,Proceedings of the 29th International Conference on Computational Linguistics,Case-Based Abductive Natural Language Inference
,inproceedings,2022.0,Proceedings of the 29th International Conference on Computational Linguistics,{CM}-Gen: A Neural Framework for {C}hinese Metaphor Generation with Explicit Context Modelling
10.18653/v1/2022.cogalex-1.10,inproceedings,2022.0,Proceedings of the Workshop on Cognitive Aspects of the Lexicon,Compositionality as an Analogical Process: Introducing {ANNE}
10.18653/v1/2022.acl-long.276,inproceedings,2022.0,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),e{P}i{C}: Employing Proverbs in Context as a Benchmark for Abstract Language Understanding
10.18653/v1/2022.acl-long.369,inproceedings,2022.0,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),{IMPLI}: Investigating {NLI} Models' Performance on Figurative Language
10.18653/v1/2022.acl-long.571,inproceedings,2022.0,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),{ODE} Transformer: An Ordinary Differential Equation-Inspired Model for Sequence Generation
10.18653/v1/2022.aacl-main.36,inproceedings,2022.0,Proceedings of the 2nd Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics and the 12th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),Bag-of-Vectors Autoencoders for Unsupervised Conditional Text Generation
10.18653/v1/2022.aacl-main.52,inproceedings,2022.0,Proceedings of the 2nd Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics and the 12th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),{A}nalogy-Guided Evolutionary Pretraining of Binary Word Embeddings
10.18653/v1/2021.unimplicit-1.5,inproceedings,2021.0,Proceedings of the 1st Workshop on Understanding Implicit and Underspecified Language,Improvements and Extensions on Metaphor Detection
10.1162/tacl_a_00406,article,2021.0,Transactions of the Association for Computational Linguistics,Unsupervised Abstractive Opinion Summarization by Generating Sentences with Tree-Structured Topic Guidance
,inproceedings,2021.0,Proceedings of the International Conference on Recent Advances in Natural Language Processing (RANLP 2021),One Size Does Not Fit All: Finding the Optimal Subword Sizes for {F}ast{T}ext Models across Languages
10.18653/v1/2021.naacl-main.336,inproceedings,2021.0,Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,{MERMAID}: Metaphor Generation with Symbolism and Discriminative Decoding
