doi,type,year,source,title
,inproceedings,2008.0,Proceedings of the 2008 Conference on Semantics in Text Processing,Textual entailment as an evaluation framework for metaphor resolution: a proposal
10.1145/2043674.2043704,inproceedings,2011.0,Proceedings of the Third International Conference on Internet Multimedia Computing and Service,Mobile based multimodal retrieval and navigation of learning objects using a 3D car metaphor
,inproceedings,2020.0,Proceedings of the 14th ACM/IEEE International Conference on Human-Robot Interaction,Lifespan design of conversational agent with growth and regression metaphor for the natural supervision on robot intelligence
10.1145/3440084.3441184,inproceedings,2021.0,Proceedings of the 2020 4th International Symposium on Computer Science and Intelligent Control,Intrinsic Evaluation of Word Embeddings for Turkish
10.1145/2851613.2851974,inproceedings,2016.0,Proceedings of the 31st Annual ACM Symposium on Applied Computing,A review and comparison of methods for determining the best analogies in analogy-based software effort estimation
10.1145/3677386.3682102,inproceedings,2024.0,Proceedings of the 2024 ACM Symposium on Spatial User Interaction,Evaluating Node Selection Techniques for Network Visualizations in Virtual Reality
10.1145/2470654.2466201,inproceedings,2013.0,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Design metaphors for procedural content generation in games
10.1145/3019612.3019840,inproceedings,2017.0,Proceedings of the Symposium on Applied Computing,A computational model to evaluate honesty in social internet of things
10.1145/3290605.3300526,inproceedings,2019.0,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,Metaphoria: An Algorithmic Companion for Metaphor Creation
10.1145/1568234.1568236,inproceedings,2009.0,Proceedings of the 12th International Conference on Artificial Intelligence and Law,"Ontological requirements for analogical, teleological, and hypothetical legal reasoning"
10.1145/3721146.3721951,inproceedings,2025.0,Proceedings of the 5th Workshop on Machine Learning and Systems,May the Memory Be With You: Efficient and Infinitely Updatable State for Large Language Models
,article,2007.0,J. Usability Studies,Metaphor-based design of high-throughput screening process interfaces
10.1145/2739480.2754805,inproceedings,2015.0,Proceedings of the 2015 Annual Conference on Genetic and Evolutionary Computation,An Immuno-inspired Approach Towards Sentence Generation
10.1145/1599301.1599347,inproceedings,2009.0,SIGGRAPH '09: Posters,The design and evaluation of a lightweight multi-view interaction metaphor for 3D visualization in the CAVE
10.1145/2980258.2982128,inproceedings,2016.0,Proceedings of the International Conference on Informatics and Analytics,Automatic Tamil Lyric Generation based on neuro-linguistics
10.1145/3495018.3495341,inproceedings,2022.0,2021 3rd International Conference on Artificial Intelligence and Advanced Manufacture,Research Progress on Logging Evaluation Method of Brittleness Index for Unconventional Oil and Gas Reservoirs
10.1145/3229345.3229410,inproceedings,2018.0,Proceedings of the XIV Brazilian Symposium on Information Systems,Usability evaluation of software debugging tools
10.1145/3274300,article,2018.0,Proc. ACM Hum.-Comput. Interact.,SOLVENT: A Mixed Initiative System for Finding Analogies between Research Papers
,inproceedings,2010.0,Proceedings of the 23rd International Conference on Computational Linguistics: Posters,Metaphor interpretation and context-based affect detection
10.1145/3613904.3642887,inproceedings,2024.0,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,BIDTrainer: An LLMs-driven Education Tool for Enhancing the Understanding and Reasoning in Bio-inspired Design
10.1145/3373165.3373184,inproceedings,2020.0,Proceedings of the Twenty-Second Australasian Computing Education Conference,Evaluating an Interactive Tool for Teaching Design Patterns
10.1145/1810295.1810463,inproceedings,2010.0,Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering - Volume 2,Developing and evaluating the code bubbles metaphor
10.1145/3132847.3132917,inproceedings,2017.0,Proceedings of the 2017 ACM on Conference on Information and Knowledge Management,Temporal Analog Retrieval using Transformation over Dual Hierarchical Structures
10.1145/2838931.2838936,inproceedings,2015.0,Proceedings of the 20th Australasian Document Computing Symposium,Integrating and Evaluating Neural Word Embeddings in Information Retrieval
10.1145/1370788.1370803,inproceedings,2008.0,Proceedings of the 4th International Workshop on Predictor Models in Software Engineering,Multi-criteria decision analysis for customization of estimation by analogy method AQUA+
10.1145/2824864.2824866,inproceedings,2014.0,Proceedings of the 6th Annual Meeting of the Forum for Information Retrieval Evaluation,Constructing A Corpus Of Figurative Language For a Tweet Classification and Retrieval Task
10.1145/2811411.2811469,inproceedings,2015.0,Proceedings of the 2015 Conference on Research in Adaptive and Convergent Systems,An intelligent decision support system for stock analysis and evaluation
,inproceedings,2017.0,Proceedings of the 21st International Symposium on Distributed Simulation and Real Time Applications,HOLEG: a simulator for evaluating resilient energy networks based on the holon analogy
10.1145/2069618.2069627,inproceedings,2011.0,Proceedings of the 8th ACM Conference on Creativity and Cognition,Creative gadget design in fictions: generalized planning in analogical spaces
10.1145/1255047.1255105,inproceedings,2007.0,Proceedings of the International Conference on Advances in Computer Entertainment Technology,Simplified motion language for 3D computer animation with turtle metaphor
10.1145/2124295.2124299,inproceedings,2012.0,Proceedings of the Fifth ACM International Conference on Web Search and Data Mining,Spatially-aware indexing for image object retrieval
10.1145/1159733.1159746,inproceedings,2006.0,Proceedings of the 2006 ACM/IEEE International Symposium on Empirical Software Engineering,A comparative study of attribute weighting heuristics for effort estimation by analogy
10.3115/993268.993293,inproceedings,1996.0,Proceedings of the 16th Conference on Computational Linguistics - Volume 2,Saussurian analogy: a theoretical account and its application
10.1145/3002151.3002158,inproceedings,2016.0,SIGGRAPH ASIA 2016 Symposium on Visualization,Peeling the flow: a sketch-based interface to generate stream surfaces
10.3115/1220575.1220698,inproceedings,2005.0,Proceedings of the Conference on Human Language Technology and Empirical Methods in Natural Language Processing,A generalized framework for revealing analogous themes across related topics
10.1145/3282443,article,2019.0,ACM Trans. Asian Low-Resour. Lang. Inf. Process.,Co-occurrence Weight Selection in Generation of Word Embeddings for Low Resource Languages
10.1145/3615522.3615564,inproceedings,2023.0,Proceedings of the 16th International Symposium on Visual Information Communication and Interaction,MOONMENT: Designing Gesture-based Interaction with Acousto-Optic Feedbacks
10.1145/3658136,article,2024.0,ACM Trans. Graph.,Analogist: Out-of-the-box Visual In-Context Learning with Image Diffusion Model
,inproceedings,1991.0,Proceedings of the 6th International Workshop on Software Specification and Design,Reuse of analogous specifications during requirements analysis
10.3115/1118975.1118979,inproceedings,2003.0,Proceedings of the ACL 2003 Workshop on Lexicon and Figurative Language - Volume 14,Systematicity and the lexicon in creative metaphor
10.1145/2909824.3020225,inproceedings,2017.0,Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction,Design and Evaluation of Adverb Palette: A GUI for Selecting Tradeoffs in Multi-objective Optimization Problems
10.1145/3290605.3300289,inproceedings,2019.0,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,An Evaluation of Radar Metaphors for Providing Directional Stimuli Using Non-Verbal Sound
10.1145/2808719.2811423,inproceedings,2015.0,"Proceedings of the 6th ACM Conference on Bioinformatics, Computational Biology and Health Informatics",Fair evaluation of global network aligners
10.1145/3064663.3064729,inproceedings,2017.0,Proceedings of the 2017 Conference on Designing Interactive Systems,StressTree: A Metaphorical Visualization for Biofeedback-assisted Stress Management
10.1145/3289600.3290613,inproceedings,2019.0,Proceedings of the Twelfth ACM International Conference on Web Search and Data Mining,ATAR: Aspect-Based Temporal Analog Retrieval System for Document Archives
10.1145/3434074.3446909,inproceedings,2021.0,Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction,Fake It to Make It: Exploratory Prototyping in HRI
10.1145/1929916.1929918,article,2011.0,ACM Trans. Manage. Inf. Syst.,Visualizing web search results using glyphs: Design and evaluation of a flower metaphor
,inproceedings,2008.0,"Proceedings of the IR Research, 30th European Conference on Advances in Information Retrieval",Accessibility in information retrieval
10.1145/1460096.1460153,inproceedings,2008.0,Proceedings of the 1st ACM International Conference on Multimedia Information Retrieval,Towards a structure-based multimedia retrieval model
,inproceedings,2007.0,"Large Scale Semantic Access to Content (Text, Image, Video, and Sound)",Multi-modal music information retrieval: visualisation and evaluation of clusterings by both audio and lyrics
10.1109/EduHPC.2014.6,inproceedings,2014.0,Proceedings of the Workshop on Education for High-Performance Computing,The blue waters student internship program: promoting competence and confidence for next generation researchers in high-performance computing
10.1145/3691620.3695331,inproceedings,2024.0,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,RepoGenix: Dual Context-Aided Repository-Level Code Completion with Language Models
10.1145/2442576.2442583,inproceedings,2012.0,Proceedings of the 2012 BELIV Workshop: Beyond Time and Errors - Novel Evaluation Methods for Visualization,Interaction junk: user interaction-based evaluation of visual analytic systems
,inproceedings,2008.0,Proceedings of the Ninth Conference on Australasian User Interface - Volume 76,User evaluation of god-like interaction techniques
10.1145/2632320.2632326,inproceedings,2014.0,Proceedings of the Tenth Annual Conference on International Computing Education Research,Allegories for learning abstract programming concepts
10.1145/3306131.3317014,inproceedings,2019.0,Proceedings of the ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,Multi-touch 3D positioning with the pantograph technique
,inproceedings,2012.0,Proceedings of the 7th International Workshop on Automation of Software Test,Automated test-case generation by cloning
10.1145/1971519.1971556,inproceedings,2010.0,Proceedings of the 8th International Conference on Advances in Mobile Computing and Multimedia,Toward a higher-level visual representation for content-based image retrieval
10.1145/506443.506630,inproceedings,2002.0,CHI '02 Extended Abstracts on Human Factors in Computing Systems,Using a tree view metaphor to visualize hardware simulation for testing
10.1145/3320435.3320453,inproceedings,2019.0,"Proceedings of the 27th ACM Conference on User Modeling, Adaptation and Personalization",Estimating Confidence of Individual User Predictions in Item-based Recommender Systems
